Folder,Name,Description,Version,Pattern,Url
Kexts,AirportBrcmFixup.kext,Broadcom Wi-Fi driver,latest,.*RELEASE,https://github.com/acidanthera/AirportBrcmFixup
Kexts,AppleALC.kext,Custom appleALC for dell inspiron 759x,kext-100920,AppleALC.kext.zip,https://github.com/tctien342/Dell-Inspiron-7591-Hackintosh
Kexts,BrcmBluetoothInjector.kext,Injects the BT hardware data,latest,.*RELEASE,https://github.com/acidanthera/BrcmPatchRAM
Kexts,BrcmFirmwareData.kext,Most appropriate for bootloader injection,latest,.*RELEASE,https://github.com/acidanthera/BrcmPatchRAM
Kexts,BrcmPatchRAM3.kext,Apply the firmware update to Bluetooth,latest,.*RELEASE,https://github.com/acidanthera/BrcmPatchRAM
Kexts,CPUFriend.kext,Dynamic CPU power management,latest,.*RELEASE,https://github.com/acidanthera/CPUFriend
Kexts,CPUFriendDataProvider.kext,Custom frequency data,kext-120320,CPUFriendDataProvider.kext.zip,https://github.com/tctien342/Dell-Inspiron-7591-Hackintosh
Kexts,Lilu.kext,Arbitrary kext and process patching,latest,.*RELEASE,https://github.com/acidanthera/Lilu
Kexts,NoTouchID.kext,Disable TouchID,latest,.*RELEASE,https://github.com/al3xtjames/NoTouchID
Kexts,NVMeFix.kext,improve compatibility with non-Apple SSDs,latest,.*RELEASE,https://github.com/acidanthera/NVMeFix
Kexts,SMCBatteryManager.kext,Emulation layer of AppleSmartBattery,latest,.*RELEASE,https://github.com/acidanthera/VirtualSMC
Kexts,SMCProcessor.kext,Add support for CPU monitoring,latest,.*RELEASE,https://github.com/acidanthera/VirtualSMC
Kexts,SMCLightSensor.kext,Add support for emulator of light sensor,latest,.*RELEASE,https://github.com/acidanthera/VirtualSMC
Kexts,SMCDellSensors.kext,Add support for dell sensor monitoring,latest,.*RELEASE,https://github.com/acidanthera/VirtualSMC
Kexts,USBPorts.kext,USBPorts for dell Insipron 759x,kext-100920,USBPorts.kext.zip,https://github.com/tctien342/Dell-Inspiron-7591-Hackintosh
Kexts,VirtualSMC.kext,SMC emulator layer,latest,.*RELEASE,https://github.com/acidanthera/VirtualSMC
Kexts,VoodooI2C.kext,Stock VoodooI2C,latest,VoodooI2C-2.*,https://github.com/VoodooI2C/VoodooI2C
Kexts,VoodooI2CHID.kext,Stock VoodooI2C,latest,VoodooI2C-2.*,https://github.com/VoodooI2C/VoodooI2C
Kexts,VerbStub.kext,VerbStub for combojack fix,70320,VerbStub.kext.zip,https://github.com/tctien342/Dell-Inspiron-7591-Hackintosh
Kexts,VoodooPS2Controller.kext,PS/2 controller,latest,.*RELEASE,https://github.com/acidanthera/VoodooPS2
Kexts,WhateverGreen.kext,Patches for GPUs,latest,.*RELEASE,https://github.com/acidanthera/WhateverGreen
Kexts,CpuTscSync.kext,Lvs1974 CpuTscSync replacement for VoodooTCSSync,latest,.*RELEASE,https://github.com/lvs1974/CpuTscSync
Kexts,HibernationFixup.kext,An open source kernel extension providing a sync between RTC variables and NVRAM,latest,.*RELEASE,https://github.com/acidanthera/HibernationFixup
Drivers,VBoxHfs.efi,HFS+ support with bless extensions,latest,.*RELEASE,https://github.com/acidanthera/AppleSupportPkg
CLOVER/drivers/UEFI,ApfsDriverLoader.efi,Open source apfs.efi loader,latest,.*RELEASE,https://github.com/acidanthera/AppleSupportPkg
CLOVER/drivers/UEFI,OcQuirks.efi,Correct memory map,latest,OcQuirks.zip,https://github.com/ReddestDream/OcQuirks
CLOVER/drivers/UEFI,OpenRuntime.efi,Correct memory map,latest,OcQuirks.zip,https://github.com/ReddestDream/OcQuirks
CLOVER/drivers/UEFI,OcQuirks.plist,Correct memory map,latest,OcQuirks.zip,https://github.com/ReddestDream/OcQuirks
CLOVER,CLOVERX64.efi,Bootloader for macOS and other systems,latest,CloverV2-*,https://github.com/CloverHackyColor/CloverBootloader
OC/Drivers,OpenRuntime.efi, Drives for Opencore,latest,.*RELEASE,https://github.com/acidanthera/OpenCorePkg
OC/Drivers,OpenCanopy.efi, Drives for Opencore,latest,.*RELEASE,https://github.com/acidanthera/OpenCorePkg
OC,OpenCore.efi,Bootloader for macOS and other systems,latest,.*RELEASE,https://github.com/acidanthera/OpenCorePkg
OC,Tools,Tools for Opencore,latest,.*RELEASE,https://github.com/acidanthera/OpenCorePkg
OC,Bootstrap,Bootstrap for Opencore,latest,.*RELEASE,https://github.com/acidanthera/OpenCorePkg
../BOOT/CLOVER,BOOTX64.efi,Bootloader for macOS and other systems,latest,CloverV2-*,https://github.com/CloverHackyColor/CloverBootloader
../BOOT/OC,BOOTx64.efi,Bootloader for macOS and other systems,latest,.*RELEASE,https://github.com/acidanthera/OpenCorePkg
